Time (s),T_min (C),T_max (C),T_ave (C),Thermal Input C
153.97,100.0,100.51,100.05,100.0
299.3376530612245,100.0,101.0084033819242,100.1234506341108,100.51020408163265
444.705306122449,100.0,101.50721572789115,100.21858824489796,101.0204081632653
590.0729591836736,100.00043592565598,102.01092443148687,100.33479518221574,101.53061224489795
735.440612244898,100.01076470748299,102.50900008163265,100.4507059047619,102.0408163265306
880.8082653061225,100.02048834287696,103.00344045809426,100.58634845740053,102.55102040816328
1026.175918367347,100.03173941690962,103.50261571428571,100.72217591836734,103.0612244897959
1171.5435714285716,100.05350871428571,104.00964814285715,100.86988271428571,103.57142857142856
1316.911224489796,100.0836889212828,104.50426705539358,101.03475568513119,104.08163265306123
1462.2788775510205,100.12487436734695,105.0033667755102,101.2007160612245,104.59183673469387
1607.646530612245,100.16584851311953,105.50678810495626,101.36657078717201,105.10204081632652
1753.0141836734695,100.22814893586006,106.00519148688046,101.54444680758017,105.61224489795919
1898.3818367346942,100.2913781904762,106.50452370068028,101.73250911564627,106.12244897959184
2043.7494897959186,100.36128542274052,107.00771253644315,101.92680287900875,106.63265306122449
2189.117142857143,100.4450702857143,107.50707276190477,102.125164,107.14285714285714
2334.484795918367,100.53316879737609,108.01023358600582,102.33072719387755,107.65306122448979
2479.852448979592,100.62846603498542,108.50863696793003,102.54877867346939,108.16326530612247
2625.2201020408165,100.7328947414966,109.00822968707483,102.76787082312926,108.67346938775512
2770.587755102041,100.84278950437317,109.51115801749272,102.9917807580175,109.18367346938776
2915.9554081632655,100.96769468707483,110.01077874829933,103.22112865306123,109.6938775510204
3061.3230612244897,101.09537141399416,110.51367906705539,103.45488788629737,110.20408163265306
3206.6907142857144,101.23269071428572,111.01441750000001,103.69604122448979,110.71428571428572
3352.0583673469387,101.37805836734694,111.51939844897959,103.9434306122449,111.22448979591836
3497.4260204081634,101.52581359329446,112.01699107142858,104.18968932215743,111.73469387755101
3642.793673469388,101.68396616326531,112.52448473469387,104.4498286122449,112.24489795918367
3788.1613265306123,101.84904151603499,113.02712454810495,104.71100236880467,112.75510204081634
3933.528979591837,102.01799947521866,113.52552793002916,104.97341096209912,113.26530612244898
4078.8966326530613,102.19686906802721,114.02564165986395,105.24680015646258,113.77551020408163
4224.264285714286,102.3846443877551,114.52804897959184,105.52765255102041,114.28571428571428
4369.631938775511,102.580842585034,115.02819072108844,105.80822174829932,114.79591836734694
4514.999591836735,102.775642303207,115.53057002915452,106.09199918367348,115.3061224489796
4660.36724489796,102.97955086734694,116.03228535714287,106.38273448979592,115.81632653061224
4805.734897959184,103.19587785034014,116.5393476462585,106.67346979591836,116.3265306122449
4951.102551020409,103.41065382653062,117.0414944606414,106.96756956997085,116.83673469387755
5096.470204081634,103.63045431292517,117.54189670748299,107.27193643537414,117.34693877551021
5241.8378571428575,103.85859076530612,118.04401551020408,107.58250969387755,117.85714285714286
5387.205510204082,104.09360865889214,118.54241889212828,107.89401180758017,118.36734693877551
5532.573163265307,104.33152681632653,119.04305363265307,108.20495608163266,118.87755102040816
5677.940816326532,104.57861705539358,119.54879285714286,108.51944037900876,119.38775510204081
5823.308469387755,104.82675524489795,120.05164879591837,108.84443253061224,119.89795918367346
5968.67612244898,105.08373049562682,120.55136642857143,109.17106855685131,120.40816326530613
6114.043775510205,105.34150986880466,121.05586437317784,109.4972429154519,120.91836734693877
6259.4114285714295,105.60774057142858,121.55675961904763,109.83262666666667,121.42857142857143
6404.779081632654,105.87721680029155,122.06272678571429,110.17326497813411,121.9387755102041
6550.146734693878,106.15347390476191,122.56489889795918,110.51434238095239,122.44897959183673
6695.514387755103,106.42863489067055,123.06530035714286,110.85499819970846,122.95918367346938
6840.882040816327,106.71376408163265,123.56930985422741,111.20242781341108,123.46938775510203
6986.249693877552,107.0044993877551,124.07046560544218,111.55339926530613,123.9795918367347
7131.617346938777,107.29523469387755,124.57666071428572,111.90421355685132,124.48979591836736
7276.985000000001,107.59083566666666,125.078149,112.26002966666667,125.0
7422.352653061225,107.89646997084549,125.57923428571429,112.62088163265307,125.51020408163264
7567.72030612245,108.2027063483965,126.08275533527697,112.98430076530613,126.0204081632653
7713.087959183675,108.50872097959184,126.58417159183674,113.34508363265306,126.53061224489797
7858.4556122448985,108.82486599854228,127.09059464285714,113.71145728862973,127.04081632653062
8003.823265306123,109.14561118367347,127.59672065306123,114.08221893877551,127.55102040816327
8149.190918367348,109.46649417638484,128.09779743440234,114.45334807580176,128.0612244897959
8294.558571428572,109.78837969387756,128.59620081632653,114.83290479591837,128.57142857142856
8439.926224489796,110.11476610884354,129.0978775782313,115.21340818367347,129.08163265306123
8585.293877551021,110.44581457725948,129.60452857142857,115.59484810495627,129.59183673469389
8730.661530612246,110.78221023809525,130.1104266394558,115.97531997959184,130.10204081632654
8876.029183673469,111.12335450437318,130.6112429154519,116.36265064139941,130.6122448979592
9021.396836734693,111.46600682944607,131.11588892857142,116.7509773542274,131.12244897959184
9166.764489795918,111.8126347755102,131.62158356462584,117.14355627210884,131.6326530612245
9312.132142857143,112.16403520408164,132.12216734693877,117.5329206632653,132.14285714285714
9457.499795918367,112.51439951020409,132.62413262585034,117.92556610884354,132.6530612244898
9602.867448979592,112.86582094752187,133.12468839650145,118.32755932215743,133.16326530612244
9748.235102040817,113.22558775510204,133.62982285714287,118.72578099125364,133.6734693877551
9893.602755102042,113.58568679591836,134.1352895510204,119.12888771428571,134.18367346938774
10038.970408163266,113.94742602040816,134.63561282798833,119.53456042274053,134.69387755102042
10184.33806122449,114.31418975510203,135.1378386122449,119.94094657142857,135.20408163265307
10329.705714285714,114.68610040816326,135.64497,120.3466087755102,135.71428571428572
10475.073367346939,115.0599029446064,136.14653725947522,120.75878104956269,136.22448979591837
10620.441020408163,115.43674665306122,136.64899553741498,121.16803485714286,136.73469387755102
10765.808673469388,115.81179373177842,137.15633035714285,121.58088192419825,137.24489795918367
10911.176326530613,116.19580353741497,137.66154459863947,121.99723880272109,137.75510204081633
11056.543979591837,116.58100908892129,138.1615793586006,122.41298279883382,138.26530612244898
11201.911632653062,116.96519502915451,138.66769071428573,122.83602692419825,138.77551020408163
11347.279285714287,117.3520780952381,139.17270152380954,123.25473395238096,139.28571428571428
11492.64693877551,117.73713833819241,139.67250379008746,123.67818032069971,139.79591836734693
11638.014591836734,118.13163988435375,140.175250585034,124.10444280272108,140.3061224489796
11783.382244897959,118.52689466472303,140.68283785714286,124.53033371720117,140.81632653061223
11928.749897959184,118.92146400874636,141.18342822157436,124.95605327259476,141.3265306122449
12074.117551020408,119.32632914285713,141.68640751020408,125.38234481632654,141.83673469387756
12219.485204081633,119.72345983965015,142.1941982142857,125.8164556122449,142.3469387755102
12364.852857142858,120.128388,142.6989565714286,126.24450171428572,142.85714285714286
12510.220510204083,120.53375713556851,143.19847032069973,126.67866153061225,143.3673469387755
12655.588163265307,120.93870988338192,143.70555857142858,127.11476448979592,143.87755102040816
12800.95581632653,121.35394000680272,144.21011349659864,127.55086744897959,144.3877551020408
12946.323469387755,121.7607582361516,144.7093947521866,127.98697040816326,144.89795918367346
13091.69112244898,122.16753514285715,145.22117529931973,128.42307336734694,145.40816326530611
13237.058775510204,122.57280658892128,145.72191580174928,128.84159650145773,145.91836734693877
13382.426428571429,122.9777593367347,146.22949250000002,129.26610596938775,146.42857142857142
13527.794081632654,123.37570382312926,146.7338194829932,129.69246263945578,146.9387755102041
13673.161734693878,123.77980768950438,147.23284023323617,130.11825936588923,147.44897959183675
13818.529387755103,124.1866822857143,147.7363685442177,130.55358816326532,147.9591836734694
13963.897040816328,124.59185604227406,148.24463964285715,130.98041276239067,148.46938775510205
14109.264693877552,124.99680879008747,148.74376466472302,131.41579408163267,148.9795918367347
14254.632346938775,125.40377057142858,149.24752546938777,131.8518970408163,149.48979591836732
14400.0,125.82,149.75,132.28,150.0
